date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
30-11-2019,Haryana,Panchkula,1.0,PM2.5,60.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-11-2024,Uttar Pradesh,Gorakhpur,1.0,PM10,168.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-08-2024,Maharashtra,Amravati,2.0,PM10,20.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-01-2021,Uttar Pradesh,NOIDA,4.0,"PM2.5,PM10",236.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-10-2023,Uttar Pradesh,Agra,6.0,"PM2.5,PM10",100.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-08-2018,Bihar,Gaya,1.0,NO2,134.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-03-2022,Bihar,Arrah,1.0,PM10,265.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-10-2018,Tamil Nadu,Chennai,2.0,PM2.5,65.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-03-2019,Haryana,Karnal,1.0,PM10,131.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2020,Rajasthan,Udaipur,1.0,PM2.5,164.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-02-2021,Tamil Nadu,Chennai,8.0,"PM2.5,PM10",69.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-10-2019,Gujarat,Gandhi Nagar,1.0,PM10,99.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-01-2017,Maharashtra,Thane,1.0,PM10,131.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-12-2020,West Bengal,Asansol,1.0,PM2.5,338.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-08-2016,Andhra Pradesh,Tirupati,1.0,NO2,58.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-11-2022,Gujarat,Vapi,1.0,PM2.5,365.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-05-2024,Andhra Pradesh,Amaravati,1.0,O3,23.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-06-2024,Uttar Pradesh,Hapur,1.0,PM10,122.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-02-2021,Karnataka,Raichur,1.0,PM10,112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-05-2024,Karnataka,Dharwad,1.0,PM10,57.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-10-2017,Uttar Pradesh,NOIDA,1.0,PM2.5,332.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-09-2021,Nagaland,Kohima,1.0,PM10,49.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-02-2019,Madhya Pradesh,Ratlam,1.0,PM10,149.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-09-2020,Maharashtra,Navi Mumbai,1.0,CO,72.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-11-2023,Karnataka,Haveri,1.0,PM2.5,237.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-03-2023,Uttar Pradesh,Khurja,1.0,PM2.5,64.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-02-2023,Haryana,Gurugram,3.0,PM2.5,329.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-01-2025,Rajasthan,Nagaur,1.0,PM2.5,242.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-12-2024,Himachal Pradesh,Baddi,1.0,PM2.5,159.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-05-2020,Jharkhand,Jorapokhar,1.0,PM10,125.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-10-2024,Uttar Pradesh,Agra,6.0,"PM2.5,PM10",86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-09-2024,Gujarat,Ahmedabad,8.0,PM10,73.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-04-2025,Rajasthan,Jalore,1.0,PM10,128.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-03-2021,West Bengal,Haldia,1.0,PM10,108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-03-2024,Tamil Nadu,Ramanathapuram,1.0,PM10,67.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-01-2019,Rajasthan,Udaipur,1.0,PM10,195.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-02-2020,Tamil Nadu,Coimbatore,1.0,PM2.5,60.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-05-2020,Gujarat,Vapi,1.0,PM10,67.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-05-2024,Madhya Pradesh,Pithampur,1.0,PM10,111.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2023,Bihar,Bihar Sharif,1.0,PM10,172.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2020,Uttar Pradesh,NOIDA,3.0,PM2.5,280.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-07-2018,Uttar Pradesh,Moradabad,1.0,PM10,56.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-12-2022,West Bengal,Asansol,1.0,PM10,356.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-09-2023,Karnataka,Chamarajanagar,1.0,PM10,43.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-05-2023,Uttar Pradesh,Gorakhpur,1.0,PM2.5,138.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-06-2022,Maharashtra,Solapur,1.0,PM10,59.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-10-2020,Madhya Pradesh,Satna,1.0,PM10,64.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-07-2023,Maharashtra,Solapur,3.0,PM10,72.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-05-2022,Rajasthan,Jodhpur,1.0,PM10,306.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-11-2022,Karnataka,Hubballi,1.0,PM10,94.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-07-2023,Uttar Pradesh,Bulandshahr,1.0,PM10,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2023,Karnataka,Mysuru,1.0,PM10,58.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-09-2023,Bihar,Aurangabad,1.0,PM10,28.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-01-2024,Punjab,Amritsar,1.0,PM10,128.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-02-2024,Haryana,Faridabad,4.0,PM2.5,120.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-02-2023,Bihar,Chhapra,1.0,PM10,369.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-11-2018,Madhya Pradesh,Singrauli,1.0,PM2.5,271.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-03-2025,Maharashtra,Chandrapur,2.0,"PM10,O3",92.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-03-2021,Uttar Pradesh,Muzaffarnagar,1.0,PM10,138.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-09-2024,Rajasthan,Banswara,1.0,PM10,99.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-09-2024,West Bengal,Kolkata,7.0,"PM10,NO2",38.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-04-2024,Rajasthan,Bhiwadi,2.0,"PM10,O3",112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-12-2022,Gujarat,Vapi,1.0,PM2.5,350.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-11-2024,Tamil Nadu,Ooty,1.0,PM10,59.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2025,Maharashtra,Mahad,1.0,PM10,67.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-06-2019,Karnataka,Chikkaballapur,1.0,PM10,72.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-05-2025,Rajasthan,Sawai Madhopur,1.0,O3,89.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2018,Gujarat,Ahmedabad,1.0,PM2.5,209.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-07-2023,Rajasthan,Jaisalmer,1.0,PM10,73.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-02-2022,Rajasthan,Jodhpur,1.0,PM2.5,205.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-05-2022,Madhya Pradesh,Dewas,1.0,PM10,140.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-05-2024,Chhattisgarh,Milupara,1.0,PM10,71.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-06-2022,Madhya Pradesh,Maihar,1.0,CO,72.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-04-2019,Punjab,Jalandhar,1.0,PM10,105.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-03-2024,Tamil Nadu,Virudhunagar,1.0,PM10,48.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-09-2020,Gujarat,Vatva,1.0,PM10,51.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-04-2025,Bihar,Hajipur,1.0,O3,263.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-11-2017,Punjab,Ludhiana,1.0,PM2.5,344.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-11-2023,Maharashtra,Kolhapur,2.0,"PM2.5,PM10",192.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-11-2024,Uttarakhand,Kashipur,1.0,PM2.5,222.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-07-2021,Punjab,Bathinda,1.0,CO,24.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-01-2024,Odisha,Rourkela,3.0,PM2.5,212.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-05-2023,Maharashtra,Navi Mumbai,2.0,PM10,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-05-2021,Assam,Guwahati,2.0,PM10,112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-09-2023,Tamil Nadu,Chengalpattu,1.0,CO,57.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-11-2022,Haryana,Palwal,1.0,PM10,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-12-2024,Uttar Pradesh,Kanpur,3.0,PM2.5,124.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-01-2019,Uttar Pradesh,Hapur,1.0,PM2.5,400.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-07-2022,Madhya Pradesh,Ujjain,1.0,PM2.5,61.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-11-2022,Madhya Pradesh,Satna,1.0,PM10,54.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-03-2023,Madhya Pradesh,Sagar,2.0,"CO,O3",72.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-02-2024,Rajasthan,Karauli,1.0,PM2.5,196.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-10-2021,Mizoram,Aizawl,1.0,SO2,27.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-01-2019,Karnataka,Hubballi,1.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-04-2025,Jharkhand,Dhanbad,1.0,NO2,127.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-10-2021,Haryana,Hisar,1.0,PM2.5,242.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2018,Andhra Pradesh,Vijayawada,1.0,PM10,69.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-11-2023,Uttar Pradesh,Hapur,1.0,PM2.5,292.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2018,Punjab,Mandi Gobindgarh,1.0,PM10,93.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-03-2025,Rajasthan,Sawai Madhopur,1.0,PM10,131.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-08-2020,Madhya Pradesh,Singrauli,1.0,SO2,35.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-06-2023,Odisha,Suakati,1.0,PM10,91.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-02-2025,Maharashtra,Malegaon,1.0,PM2.5,118.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2020,Haryana,Mandikhera,1.0,O3,73.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-06-2019,Maharashtra,Mumbai,1.0,CO,81.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-11-2021,Karnataka,Mangalore,1.0,CO,62.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-09-2020,West Bengal,Kolkata,6.0,"PM10,O3,CO",34.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-11-2024,Uttar Pradesh,Hapur,1.0,PM2.5,134.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-06-2024,Assam,Sivasagar,1.0,PM10,65.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-09-2021,Bihar,Hajipur,1.0,O3,55.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-02-2022,Haryana,Bahadurgarh,1.0,PM10,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-01-2024,Rajasthan,Bundi,1.0,PM2.5,210.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-01-2022,Chandigarh,Chandigarh,1.0,PM2.5,28.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-11-2017,Maharashtra,Navi Mumbai,1.0,PM10,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-08-2024,Haryana,Charkhi Dadri,1.0,PM2.5,34.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-09-2022,Madhya Pradesh,Indore,1.0,CO,51.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-06-2022,Uttar Pradesh,Varanasi,4.0,"PM10,O3",109.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-08-2022,Manipur,Imphal,2.0,"SO2,O3",66.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-12-2016,Rajasthan,Jodhpur,1.0,PM2.5,310.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-01-2025,Karnataka,Tumakuru,1.0,PM10,158.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-08-2020,Uttar Pradesh,Varanasi,1.0,PM10,53.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-12-2024,Maharashtra,Virar,1.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-09-2023,Tamil Nadu,Ariyalur,1.0,PM10,27.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-09-2022,Maharashtra,Aurangabad,1.0,PM10,87.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-07-2021,West Bengal,Durgapur,1.0,PM10,101.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-05-2020,Madhya Pradesh,Ratlam,1.0,PM10,78.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-07-2023,Jharkhand,Dhanbad,1.0,CO,185.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-07-2023,Meghalaya,Shillong,1.0,SO2,21.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-03-2024,Meghalaya,Shillong,1.0,PM2.5,157.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-04-2021,Bihar,Hajipur,1.0,PM10,142.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-06-2019,Uttar Pradesh,NOIDA,2.0,PM10,274.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-05-2024,Maharashtra,Nashik,3.0,"PM10,O3",97.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-01-2025,Assam,Nalbari,1.0,PM2.5,188.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-05-2022,Bihar,Patna,5.0,"PM2.5,PM10",112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-05-2021,Haryana,Sirsa,1.0,PM10,90.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-11-2020,Karnataka,Mysuru,1.0,PM2.5,64.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-10-2021,Rajasthan,Alwar,1.0,PM10,78.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2025,Madhya Pradesh,Sagar,2.0,CO,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-05-2021,West Bengal,Kolkata,7.0,"PM10,O3,CO",77.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-07-2022,Karnataka,Davanagere,1.0,PM10,17.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-06-2024,Uttar Pradesh,Greater Noida,2.0,PM10,247.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-03-2021,Madhya Pradesh,Gwalior,1.0,PM2.5,149.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-12-2019,Rajasthan,Jaipur,3.0,"PM2.5,PM10",114.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-02-2021,Haryana,Panchkula,1.0,PM2.5,172.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-11-2023,Chhattisgarh,Chhal,1.0,PM10,63.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-08-2023,Haryana,Jind,1.0,PM10,94.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-08-2020,Kerala,Kannur,1.0,PM10,38.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
